Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"J1","ZumoReflectanceSensorArray","PinSocket_2x12_P2.54mm_Vertical",-99.030000,-66.350000,-90.000000,bottom
"C1","10µF","C_0402_1005Metric",103.250000,-135.270000,90.000000,top
"C2","10µF","C_0402_1005Metric",108.100000,-133.730000,-90.000000,top
"C3","10µF","C_0402_1005Metric",105.143000,-131.646000,0.000000,top
"C4","100nF","C_0402_1005Metric",131.853000,-89.784000,180.000000,top
"C5","15pF","C_0402_1005Metric",123.643993,-111.403940,0.000000,top
"C6","10pF","C_0402_1005Metric",123.726000,-104.967000,180.000000,top
"C7","10pF","C_0402_1005Metric",124.537097,-99.570692,0.000000,top
"C8","4.7µF","C_0402_1005Metric",120.682500,-104.150000,90.000000,top
"C9","15pF","C_0402_1005Metric",124.033608,-106.254082,180.000000,top
"C10","100nF","C_0402_1005Metric",119.620000,-104.150000,90.000000,top
"C11","100nF","C_0402_1005Metric",120.100000,-105.634000,0.000000,top
"C12","10nF","C_0402_1005Metric",92.695000,-90.747000,180.000000,top
"C13","100nF","C_0402_1005Metric",97.608000,-89.218000,-90.000000,top
"C14","100nF","C_0402_1005Metric",95.398000,-90.703000,0.000000,top
"C15","2.2nF","C_0402_1005Metric",95.270000,-84.150000,180.000000,top
"C16","100nF","C_0402_1005Metric",103.822000,-107.726000,90.000000,top
"C17","10µF","C_0805_2012Metric",113.450000,-93.641999,0.000000,top
"C18","2.2µF","C_0402_1005Metric",114.560000,-92.104999,0.000000,top
"C19","10nF","C_0402_1005Metric",112.109000,-92.110999,0.000000,top
"D1","FDWS9510LF085","FDWS9510LF085",96.000000,-135.000000,-90.000000,top
"D2","FDWS9510LF085","FDWS9510LF085",98.464500,-128.395036,90.000000,top
"D3","RED","LED_0603_1608Metric",94.000000,-99.462500,-90.000000,top
"D4","GREEN","LED_0603_1608Metric",95.800000,-99.462500,-90.000000,top
"D5","BLUE","LED_0603_1608Metric",97.600000,-99.462500,-90.000000,top
"H1","MountingHole","Zumo_Padded_Holes",88.000000,-66.400000,0.000000,top
"H2","MountingHole","Zumo_Padded_Holes",138.000000,-66.400000,0.000000,top
"H3","MountingHole","Zumo_Padded_Holes",140.500000,-129.400000,0.000000,top
"H4","MountingHole","Zumo_Padded_Holes",85.500000,-129.400000,0.000000,top
"J2","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",138.065000,-74.583000,-90.000000,top
"J3","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",132.333000,-102.444000,180.000000,top
"J4","Conn_01x04","JST-1x04_1mm",83.413345,-102.684600,-90.000000,top
"J5","LEFT_MOTOR_CONNECTOR","PinHeader_1x06_P2.54mm_Vertical",106.801000,-69.983000,0.000000,top
"J6","RIGHT_MOTOR_CONNECTOR","PinHeader_1x06_P2.54mm_Vertical",119.199000,-69.983000,0.000000,top
"R1","33kΩ","R_0402_1005Metric",89.000000,-136.010000,-90.000000,top
"R2","33kΩ","R_0402_1005Metric",102.000000,-127.000000,90.000000,top
"R3","10KΩ","R_0402_1005Metric",134.322000,-89.784000,0.000000,top
"R4","470Ω","R_0402_1005Metric",122.584068,-99.582006,180.000000,top
"R5","10KΩ","R_0402_1005Metric",140.650000,-99.269000,180.000000,top
"R6","10KΩ","R_0402_1005Metric",140.650000,-92.919000,180.000000,top
"R7","10KΩ","R_0402_1005Metric",143.957000,-112.559000,-90.000000,top
"R8","10KΩ","R_0402_1005Metric",87.790000,-91.100000,0.000000,top
"R9","4.7kΩ","R_0402_1005Metric",87.879000,-102.729000,-90.000000,top
"R10","4.7kΩ","R_0402_1005Metric",89.189000,-103.727000,-90.000000,top
"R11","10KΩ","R_0402_1005Metric",121.349000,-97.683000,-90.000000,top
"R12","10KΩ","R_0402_1005Metric",120.247000,-97.672000,90.000000,top
"R13","10KΩ","R_0402_1005Metric",121.890000,-92.550000,0.000000,top
"R14","1KΩ","R_0402_1005Metric",94.000000,-102.000000,-90.000000,top
"R15","1KΩ","R_0402_1005Metric",95.800000,-102.000000,-90.000000,top
"R16","1KΩ","R_0402_1005Metric",97.600000,-102.000000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",107.100000,-140.970000,0.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",123.800000,-141.000000,0.000000,top
"SW3","RS-032G05A3-SMRT","SW_RS-032G05A3-SMRT",133.603000,-86.855000,0.000000,top
"SW4","RS-032G05A3-SMRT","SW_RS-032G05A3-SMRT",141.756000,-107.913000,90.000000,top
"SW5","RS-032G05A3-SMRT","SW_RS-032G05A3-SMRT",87.300000,-84.700000,90.000000,top
"SW6","SW_SPDT","SW_SPDT_PCM12",123.474000,-87.483000,90.000000,top
"U1","PowerBooster","PowerBooster",136.500000,-118.995000,180.000000,top
"U2","TPS73633DBV","SOT-23-5",105.600000,-134.500000,90.000000,top
"U3","Raspberry_Pi_Zero_2_W_Simple","PinHeader_2x20_P2.54mm_Vertical",88.870000,-117.474000,90.000000,top
"U4","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",94.416000,-87.494000,0.000000,top
"U5","STM32G030C8T6","LQFP-48_7x7mm_P0.5mm",113.000000,-104.300000,180.000000,top
"U6","W25Q128JVS","SOIC-8_5.275x5.275mm_P1.27mm",98.522000,-110.118000,0.000000,top
"U7","DRV8833PWP","DRV8833PWP",112.900000,-87.575000,-90.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",123.355521,-102.276790,90.000000,top
"Y2","Crystal_Small","Crystal_SMD_3215-2Pin_3.2x1.5mm",123.784000,-108.823000,-90.000000,top
